Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.apache.plc4x.plugins.codegenerator.language.mspec.model.terms.WildcardTerm'.",MINOR,2min,Key: AYbXt4d7r4kLSu96nONy Path: Analisi-1:code-generation/language-base-freemarker/src/main/java/org/apache/plc4x/plugins/codegenerator/protocol/freemarker/BaseFreemarkerLanguageTemplateHelper.java - startLine: 26;startOffset: 7;endOffset: 85;endLine: 26,Maintenance (Code Smells)
To-Do,New,Normal,java:S1133:  "Do not forget to remove this deprecated code someday.",INFO,10min,Key: AYbXt4eLr4kLSu96nONz Path: Analisi-1:code-generation/language-base-freemarker/src/main/java/org/apache/plc4x/plugins/codegenerator/protocol/freemarker/FreemarkerLanguageTemplateHelper.java - startLine: 30;startOffset: 11;endOffset: 38;endLine: 30,Maintenance (Code Smells)
To-Do,New,Normal,java:S1133:  "Do not forget to remove this deprecated code someday.",INFO,10min,Key: AYbXt4eLr4kLSu96nON0 Path: Analisi-1:code-generation/language-base-freemarker/src/main/java/org/apache/plc4x/plugins/codegenerator/protocol/freemarker/FreemarkerLanguageTemplateHelper.java - startLine: 36;startOffset: 11;endOffset: 46;endLine: 36,Maintenance (Code Smells)
To-Do,New,Normal,java:S1133:  "Do not forget to remove this deprecated code someday.",INFO,10min,Key: AYbXt4eLr4kLSu96nON1 Path: Analisi-1:code-generation/language-base-freemarker/src/main/java/org/apache/plc4x/plugins/codegenerator/protocol/freemarker/FreemarkerLanguageTemplateHelper.java - startLine: 42;startOffset: 11;endOffset: 39;endLine: 42,Maintenance (Code Smells)
To-Do,New,Normal,java:S2201:  "The return value of map must be used.",MAJOR,10min,Key: AYbXt4Zur4kLSu96nONu Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/model/definitions/DefaultComplexTypeDefinition.java - startLine: 133;startOffset: 13;endOffset: 16;endLine: 133,Reliability (Bugs)
To-Do,New,Normal,java:S2201:  "The return value of map must be used.",MAJOR,10min,Key: AYbXt4Zur4kLSu96nONv Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/model/definitions/DefaultComplexTypeDefinition.java - startLine: 143;startOffset: 13;endOffset: 16;endLine: 143,Reliability (Bugs)
To-Do,New,Normal,java:S2201:  "The return value of map must be used.",MAJOR,10min,Key: AYbXt4Zur4kLSu96nONw Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/model/definitions/DefaultComplexTypeDefinition.java - startLine: 153;startOffset: 13;endOffset: 16;endLine: 153,Reliability (Bugs)
To-Do,New,Normal,java:S1123:  "Add the missing @Deprecated annotation.",MAJOR,5min,Key: AYbXt4byr4kLSu96nONx Path: Analisi-1:code-generation/protocol-base-mspec/src/main/java/org/apache/plc4x/plugins/codegenerator/language/mspec/model/terms/WildcardTerm.java - startLine: 27;startOffset: 13;endOffset: 25;endLine: 27,Maintenance (Code Smells)
To-Do,New,Normal,java:S1123:  "Add the missing @Deprecated annotation.",MAJOR,5min,Key: AYbXt3vzr4kLSu96nONk Path: Analisi-1:plc4j/drivers/ab-eth/src/main/java/org/apache/plc4x/java/abeth/protocol/Plc4xAbEthProtocol.java - startLine: 50;startOffset: 13;endOffset: 31;endLine: 50,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.apache.plc4x.java.api.exceptions.PlcConnectionException'.",MINOR,2min,Key: AYbXt3sQr4kLSu96nONh Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/base/protocol/ModbusProtocolLogic.java - startLine: 21;startOffset: 7;endOffset: 66;endLine: 21,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'java.io.IOError'.",MINOR,2min,Key: AYbXt3sQr4kLSu96nONi Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/base/protocol/ModbusProtocolLogic.java - startLine: 36;startOffset: 7;endOffset: 22;endLine: 36,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'java.io.IOException'.",MINOR,2min,Key: AYbXt3sQr4kLSu96nONj Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/base/protocol/ModbusProtocolLogic.java - startLine: 37;startOffset: 7;endOffset: 26;endLine: 37,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'java.io.IOException'.",MINOR,2min,Key: AYbXt35Xr4kLSu96nONl Path: Analisi-1:plc4j/drivers/plc4x/src/main/java/org/apache/plc4x/java/plc4x/protocol/Plc4xProtocolLogic.java - startLine: 37;startOffset: 7;endOffset: 26;endLine: 37,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.apache.plc4x.java.api.exceptions.PlcConnectionException'.",MINOR,2min,Key: AYbXt4Q2r4kLSu96nONt Path: Analisi-1:plc4j/examples/hello-webservice/src/main/java/org/apache/plc4x/java/examples/hellowebservice/HelloWebservice.java - startLine: 32;startOffset: 7;endOffset: 66;endLine: 32,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.apache.plc4x.java.api.exceptions.PlcConnectionException'.",MINOR,2min,Key: AYbXt4PCr4kLSu96nONs Path: Analisi-1:plc4j/examples/hello-world-plc4x-subscribe/src/main/java/org/apache/plc4x/java/examples/helloplc4x/subscribe/HelloPlc4xSubscription.java - startLine: 23;startOffset: 7;endOffset: 66;endLine: 23,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.apache.plc4x.java.api.exceptions.PlcConnectionException'.",MINOR,2min,Key: AYbXt4NZr4kLSu96nONr Path: Analisi-1:plc4j/examples/hello-world-plc4x-write/src/main/java/org/apache/plc4x/java/examples/helloplc4x/write/HelloPlc4xWrite.java - startLine: 23;startOffset: 7;endOffset: 66;endLine: 23,Maintenance (Code Smells)
To-Do,New,Normal,java:S1130:  "Remove the declaration of thrown exception 'java.io.IOException' as it cannot be thrown from constructor's body.",MINOR,5min,Key: AYbXt3-6r4kLSu96nONm Path: Analisi-1:plc4j/integrations/apache-nifi/nifi-plc4x-processors/src/main/java/org/apache/plc4x/nifi/record/RecordPlc4xWriter.java - startLine: 154;startOffset: 136;endOffset: 147;endLine: 154,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.bouncycastle.cert.CertException'.",MINOR,2min,Key: AYbXt4Ckr4kLSu96nONn Path: Analisi-1:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/OPCUAServer.java - startLine: 40;startOffset: 7;endOffset: 42;endLine: 40,Maintenance (Code Smells)
To-Do,New,Normal,java:S1130:  "Remove the declaration of thrown exception 'org.apache.plc4x.java.spi.generation.ParseException' as it cannot be thrown from method's body.",MINOR,5min,Key: AYbXt3Bwr4kLSu96nONW Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/codegen/fields/FieldReaderFactory.java - startLine: 141;startOffset: 137;endOffset: 151;endLine: 141,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'org.apache.plc4x.java.spi.generation.ParseException'.",MINOR,2min,Key: AYbXt3Cnr4kLSu96nONY Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/codegen/fields/FieldReaderVirtual.java - startLine: 22;startOffset: 7;endOffset: 58;endLine: 22,Maintenance (Code Smells)
To-Do,New,Normal,java:S3776:  "Refactor this method to reduce its Cognitive Complexity from 25 to the 15 allowed.",CRITICAL,15min,Key: AYbXt3Cnr4kLSu96nONX Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/codegen/fields/FieldReaderVirtual.java - startLine: 34;startOffset: 13;endOffset: 29;endLine: 34,Maintenance (Code Smells)
To-Do,New,Normal,java:S1133:  "Do not forget to remove this deprecated code someday.",INFO,10min,Key: AYbXt3Inr4kLSu96nONZ Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/connection/AbstractPlcConnection.java - startLine: 61;startOffset: 14;endOffset: 35;endLine: 61,Maintenance (Code Smells)
To-Do,New,Normal,java:S1123:  "Add the missing @Deprecated annotation.",MAJOR,5min,Key: AYbXt3Inr4kLSu96nONa Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/connection/AbstractPlcConnection.java - startLine: 61;startOffset: 14;endOffset: 35;endLine: 61,Maintenance (Code Smells)
To-Do,New,Normal,java:S3400:  "Remove this method and declare a constant for this value.",MINOR,5min,Key: AYbXt20kr4kLSu96nONP Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/generation/EvaluationHelper.java - startLine: 54;startOffset: 15;endOffset: 19;endLine: 54,Maintenance (Code Smells)
To-Do,New,Normal,java:S3400:  "Remove this method and declare a constant for this value.",MINOR,5min,Key: AYbXt20kr4kLSu96nONQ Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/generation/EvaluationHelper.java - startLine: 58;startOffset: 15;endOffset: 19;endLine: 58,Maintenance (Code Smells)
To-Do,New,Normal,java:S3400:  "Remove this method and declare a constant for this value.",MINOR,5min,Key: AYbXt20kr4kLSu96nONR Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/generation/EvaluationHelper.java - startLine: 62;startOffset: 15;endOffset: 19;endLine: 62,Maintenance (Code Smells)
To-Do,New,Normal,java:S3400:  "Remove this method and declare a constant for this value.",MINOR,5min,Key: AYbXt20kr4kLSu96nONS Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/generation/EvaluationHelper.java - startLine: 66;startOffset: 15;endOffset: 19;endLine: 66,Maintenance (Code Smells)
