Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,java:S1128:  "Remove this unused import 'io.netty.buffer.ByteBuf'.",MINOR,2min,Key: AYU_8-3mAPwTPIF66Tse Path: Analisi-1:plc4j/drivers/ab-eth/src/main/java/org/apache/plc4x/java/abeth/protocol/Plc4xAbEthProtocol.java - startLine: 21;startOffset: 7;endOffset: 30;endLine: 21,Maintenance (Code Smells)
To-Do,New,Normal,java:S3457:  "No need to call toString() method as formatting and string conversion is done by the Formatter.",MAJOR,10min,Key: AYU_8_FZAPwTPIF66Tsm Path: Analisi-1:plc4j/drivers/ads/src/main/java/org/apache/plc4x/java/ads/discovery/AdsPlcDiscoverer.java - startLine: 221;startOffset: 31;endOffset: 64;endLine: 221,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'java.text.MessageFormat'.",MINOR,2min,Key: AYU_8_E_APwTPIF66Tsk Path: Analisi-1:plc4j/drivers/ads/src/main/java/org/apache/plc4x/java/ads/protocol/AdsProtocolLogic.java - startLine: 57;startOffset: 7;endOffset: 30;endLine: 57,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'java.util.logging.LogRecord'.",MINOR,2min,Key: AYU_8_E_APwTPIF66Tsl Path: Analisi-1:plc4j/drivers/ads/src/main/java/org/apache/plc4x/java/ads/protocol/AdsProtocolLogic.java - startLine: 66;startOffset: 7;endOffset: 34;endLine: 66,Maintenance (Code Smells)
To-Do,New,Normal,java:S1135:  "Complete the task associated to this TODO comment.",INFO,0min,Key: AYU_8_E_APwTPIF66Tsg Path: Analisi-1:plc4j/drivers/ads/src/main/java/org/apache/plc4x/java/ads/protocol/AdsProtocolLogic.java - startLine: 489;startOffset: 0;endOffset: 37;endLine: 489,Maintenance (Code Smells)
To-Do,New,Normal,java:S3457:  "String contains no format specifiers.",MAJOR,10min,Key: AYU_8_E_APwTPIF66Tsh Path: Analisi-1:plc4j/drivers/ads/src/main/java/org/apache/plc4x/java/ads/protocol/AdsProtocolLogic.java - startLine: 503;startOffset: 11;endOffset: 81;endLine: 503,Maintenance (Code Smells)
To-Do,New,Normal,java:S3457:  "String contains no format specifiers.",MAJOR,10min,Key: AYU_8_E_APwTPIF66Tsi Path: Analisi-1:plc4j/drivers/ads/src/main/java/org/apache/plc4x/java/ads/protocol/AdsProtocolLogic.java - startLine: 560;startOffset: 16;endOffset: 84;endLine: 560,Maintenance (Code Smells)
To-Do,New,Normal,java:S3776:  "Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.",CRITICAL,8min,Key: AYU_8_E_APwTPIF66Tsj Path: Analisi-1:plc4j/drivers/ads/src/main/java/org/apache/plc4x/java/ads/protocol/AdsProtocolLogic.java - startLine: 1457;startOffset: 56;endOffset: 63;endLine: 1457,Maintenance (Code Smells)
To-Do,New,Normal,java:S1104:  "Make logger a static final constant or non-public and provide accessors if needed.",MINOR,10min,Key: AYU_8-sjAPwTPIF66Tsc Path: Analisi-1:plc4j/drivers/knxnetip/src/main/java/org/apache/plc4x/java/knxnetip/utils/KnxHelper.java - startLine: 29;startOffset: 25;endOffset: 31;endLine: 29,Maintenance (Code Smells)
To-Do,New,Normal,java:S1444:  "Make this public static logger field final",MINOR,20min,Key: AYU_8-sjAPwTPIF66Tsd Path: Analisi-1:plc4j/drivers/knxnetip/src/main/java/org/apache/plc4x/java/knxnetip/utils/KnxHelper.java - startLine: 29;startOffset: 25;endOffset: 31;endLine: 29,Maintenance (Code Smells)
